TIPUSCASDATA;COMARCACODI;COMARCADESCRIPCIO;MUNICIPICODI;MUNICIPIDESCRIPCIO;SEXECODI;SEXEDESCRIPCIO;TIPUSCASDESCRIPCIO;NUMCASOS
29/04/2020;21;MARESME;08110;MALGRAT DE MAR;1;Dona;Positiu per Test Ràpid;6
03/07/2020;40;VALLES OCCIDENTAL;08125;MONTCADA I REIXAC;1;Dona;Positiu per ELISA;1
28/07/2020;11;BAIX LLOBREGAT;08217;SANT JOAN DESPÍ;1;Dona;Positiu per Test Ràpid;7
25/07/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;0;Home;PCR probable;6
28/08/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;1;Dona;Positiu per ELISA;1
11/04/2020;13;BARCELONES;08019;BARCELONA;0;Home;PCR probable;7
28/07/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;0;Home;PCR probable;3
03/07/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;0;Home;Positiu per ELISA;2
24/08/2020;17;GARRAF;08270;SITGES;1;Dona;PCR probable;1
26/08/2020;11;BAIX LLOBREGAT;08001;ABRERA;0;Home;Positiu per ELISA;2
17/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;69
15/04/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;6
18/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;30
06/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;7
05/11/2020;09;BAIX EBRE;43052;XERTA;0;Home;Positiu per Test Ràpid;1
06/08/2020;07;BAGES;08113;MANRESA;1;Dona;Positiu per ELISA;1
06/08/2020;SES;;SES;;SES;;Positiu Epidemiològic;1
28/09/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;20
06/08/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;8
10/07/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;60
